MSE,RMSE,MAE,R2_Score,Directional_Accuracy,Model,Fold,Stock
0.0006700795939524,0.0258858956567554,0.0193569212431303,-0.0311051805478208,0.5079365079365079,XGBoost,4,MSFT
0.0006504624013821,0.0255041643929407,0.0188529113861313,-0.000918633950103,0.5079365079365079,LSTM,4,MSFT
0.0006504168986962,0.025503272313495,0.0188813000791139,-0.0008486153201598,0.4761904761904761,GRU,4,MSFT
0.0006634328069197,0.0257571894219807,0.0191010978471411,-0.0208772365763891,0.492063492063492,Transformer,4,MSFT
0.0006513596649865,0.0255217488622262,0.0188503063062841,-0.0022993253771621,0.4603174603174603,Stacked_Ensemble,4,MSFT
0.000639100992013,0.025280446831753,0.0204457701036292,-0.7803070821752498,0.5555555555555556,Naive,5,MSFT
0.0004734499979417,0.0217589061752132,0.0172844090587537,-0.318862581853516,0.4444444444444444,Ridge_Regression,5,MSFT
0.0003875642167321,0.0196866507240859,0.0155642709965143,-0.0796154730922833,0.4285714285714285,Random_Forest,5,MSFT
0.0003727796271772,0.0193075018367786,0.0155724289651141,-0.0384308875249579,0.4761904761904761,XGBoost,5,MSFT
0.0003622147911064,0.0190319413383503,0.0152444865552332,-0.0090010279035197,0.5079365079365079,LSTM,5,MSFT
0.0003601533896547,0.0189777077028495,0.0152545034938276,-0.0032586997748305,0.5079365079365079,GRU,5,MSFT
0.0003629656356442,0.0190516570314563,0.0152157961155843,-0.0110926125904782,0.5079365079365079,Transformer,5,MSFT
0.0003643948727223,0.0190891297004949,0.0153173402113431,-0.0150739565783775,0.4761904761904761,Stacked_Ensemble,5,MSFT
0.0005208635148749,0.0228224344642491,0.0168099951403233,-0.9266818531522356,0.5396825396825397,Naive,6,MSFT
0.0003262824917253,0.0180632912761033,0.0134114734146745,-0.2069237676581334,0.5238095238095238,Ridge_Regression,6,MSFT
0.0002790365078516,0.0167043858866953,0.0125741303381499,-0.0321601738101726,0.4444444444444444,Random_Forest,6,MSFT
0.0002925135264161,0.0171030268203077,0.0128789252465297,-0.082011865014012,0.4444444444444444,XGBoost,6,MSFT
0.0002742789343701,0.0165613687348027,0.0123573952055887,-0.014561839063893,0.5079365079365079,LSTM,6,MSFT
0.0002754900402204,0.0165978926439599,0.0123509599717109,-0.0190417375352038,0.5079365079365079,GRU,6,MSFT
0.000276726918443,0.016635111013848,0.0123826930144931,-0.0236169683932774,0.4761904761904761,Transformer,6,MSFT
0.0002757811556568,0.0166066599789607,0.0124086422375121,-0.0201185778445465,0.5238095238095238,Stacked_Ensemble,6,MSFT
